Date,Hour,Minute,Tweet text,Polarity,Sentiment
07/18/2017,19,59,"august 5th 6th at JoinTheExperience sign up instagram com p BWtQ0U7g fK",0.000000,0
07/18/2017,19,59,"Impeccable timing Prayers up mikewillshotit calvin merritt rico wavy instagram com p BWtQzQbHOrT",0.750000,1
07/18/2017,19,59,"Bonnie Clyde 2 0 bonnieandclyde York New York instagram com p BWtQTUhACXy",0.136364,1
07/18/2017,19,59,"We made some vegan birthday cupcakes for a friend today Mixed in some vegan sprinkles topped instagram com p BWtQzs2AUZ1",0.000000,0
07/18/2017,19,59,"ALLURING We love our selection of natural stones for our instagram com p BWtQxgwFXux",0.300000,1
07/18/2017,19,59,"NBA Dream DALEytrip Square Garden instagram com p BWtQxnJFOPfx nmbm4Xyztk7PLZiuCSPO4ua6gI0",0.000000,0
07/18/2017,19,59,"2 4 of my FIT to a T instructor crew My beauties instagram com p BWtQxFTlCiAe zdsCNUokQz58CaWgdHCPN7BcOA0",0.400000,1
07/18/2017,19,59,"I m at New York Penn Station NYP New York NY w 8 others http 4sq com 2vgba8C",0.136364,1
07/18/2017,19,59,"That moment when I m in deep reflection considering if the two people I am matching up will instagram com p BWtQu0Pn1T8",0.000000,0
07/18/2017,19,58,"missfinch modestwomenclothing modestfashion clothingbrand York New York instagram com p BWtQurNANz",0.136364,1
07/18/2017,19,58,"KIKI JONAS ELVIS by willyvanderperre olivierrizzo for calvinklein kdhwillems jonasgloeer instagram com p BWtQtgTFtOi",0.000000,0
07/18/2017,19,58,"Just posted a photo Of Illustrators instagram com p BWtQpSvFzPo",0.000000,0
07/18/2017,19,58,"Omg this dog was so cute We made friends As owner taking other friend It came for pets and instagram com p BWtQaeWAGuA",0.187500,1
07/18/2017,19,58,"is my favorite person dailyshow Daily Show instagram com p BWtQhx4gpJV",0.250000,1
07/18/2017,19,58,"Get to the Bar for Drinkin Bingo it s still Taco Tuesday with Taco Beer drink specials instagram com p BWtQiwHhO5r",0.000000,0
07/18/2017,19,58,"7 24 17 Industry Mondays at the lobby present The award of Recognition to for the instagram com p BWtQi4Oldba",0.000000,0
07/18/2017,19,57,"Construction on GardenStateParkway SB from North of Exit 144 CR 510 to North of Exit 142 I 78 http 511ny org EventDetails T RANSCOM ORI159079001",0.000000,0
07/18/2017,19,57,"LinkinPark MikeShinoda OneMoreLight OML LinkinParkUnplugged GoodMorningAmerica GMA instagram com p BWtQlf9l9aX",0.000000,0
07/18/2017,19,57,"we were born to love and conquer bad days i was at least deep dope planepose instagram com p BWs7DZgg TO",-0.125000,-1
07/18/2017,19,57,"Repost therealdjak47 get repost N Y C instagram com p BWtQji0jzms",0.000000,0
07/18/2017,19,57,"CatTuesday workout therealomarthecat cattuesday catyoga instagram com p BWtQi1JDpcf",0.000000,0
07/18/2017,19,57,"Purple People Eater Buster s instagram com p BWtQjLWFdlqn GOgxZ3CpeXxvse1NEHoJfYwyc40",0.000000,0
07/18/2017,19,57,"Baseball from the party deck brooklyncyclones coneyisland Park instagram com p BWtQi49FGUG",0.000000,0
07/18/2017,19,57,"Nashville hot at the Stand might be my new favorite thing on their menu Stand Comedy Club instagram com p BWtQhI8AyRy",0.295455,1
07/18/2017,19,56,"That s my favorite part When the butter hits Vegan Cafe instagram com p BWtQdFbDFlD",0.500000,1
07/18/2017,19,56,"Too me to blend in greatestdayever music York Expo Center instagram com p BWtQcW0HuaF",-0.100000,-1
07/18/2017,19,56,"Momento ntimo con en su mediatour por newyorkcity asicomosuena keloke809 instagram com p BWtQexSBsLI",0.000000,0
07/18/2017,19,56,"When your sister realizes she watching forzon on DVD Lol instagram com p BWtQbpyh1wm3 JMInBxXAGxuaCfWpzyHeR0rNS00",0.800000,1
07/18/2017,19,56,"You can say we had a connection SunsetSalsa in NewYork Salsa NYC instagram com p BWtQb9LF9ey",0.000000,0
07/18/2017,19,56,"Catching up over drinks and oysters Book Candle in New York NY swarmapp com c 4W1a9Pfoxmh pic twitter com AgKVfZTZaV",0.368182,1
07/18/2017,19,56,"Just posted a photo Of Illustrators instagram com p BWtQadIlTzu",0.000000,0
07/18/2017,19,55,"Construction on NewJerseyTurnpikei95 SB from South of Exit 69 I 80 to South of Exit 70AB NJ 93 Leonia Teaneck http 511ny org EventDetails T RANSCOM ORI159078901",0.000000,0
07/18/2017,19,55,"Yall ion even wanna come back instagram com p BWtQXqTlCrs",0.000000,0
07/18/2017,19,55,"Sooooo let me give you a peek into my world My 9yo here Caleb is Autistic There are instagram com p BWtQXf3Fnvy",-0.200000,-1
07/18/2017,19,55,"View A Mets D Field instagram com p BWtQW4dBbZf",0.000000,0
07/18/2017,19,55,"I went outside today Harlem good call with this MSG show in Oct davidingber gnr instagram com p BWtQW0DAPt3",0.350000,1
07/18/2017,19,55,"Run it instagram com p BWtQV NAywpJ 3B0Cs0vM1cz mpA8aYuQdqs2Gw0",0.000000,0
07/18/2017,19,55,"Disney has found its Aladdin Jasmine and Genie for the live action Aladdin remake Relative instagram com p BWtQQyZgibC",0.078788,1
07/18/2017,19,55,"Still amazed Follow your dreams and surround yourself with interstellar people who love and instagram com p BWtQVuMgLsC",0.500000,1
07/18/2017,19,55,"theliquifiedlipstick complimentary contest New York instagram com p BWtQVL6g54D",0.218182,1
07/18/2017,19,55,"What a day Right Time to take it down a notch with these easy and fun Cali blends from instagram com p BWtNlK AZUa",0.215873,1
07/18/2017,19,55,"I think I ll write a book called 50 Shades of Red Face My Journey to Break 300 and 20 Miles instagram com p BWtQRLMF0fH",0.000000,0
07/18/2017,19,55,"Just posted a photo Of Illustrators instagram com p BWtQRXuFUyj",0.000000,0
07/18/2017,19,54,"Throw This Back Before thursday linkinbio artistic guitar punk song musician recording instagram com p BWtQRCVhtdg",0.166667,1
07/18/2017,19,54,"sufjanstevens planatarium Celebrate Brooklyn Festival instagram com p BWtQP1ugiAv",0.000000,0
07/18/2017,19,54,"Bir k t phane herhalde ancak bu kadar g zel olabilir nypl The New York Public Library instagram com p BWtQQNCACuA",0.068182,1
07/18/2017,19,54,"I am about to tear this cake up ALIMWORLD cake York New York instagram com p BWtQOr9A83pA n2Cx7rkyGALFLr4TB3HbDKnWb40",0.136364,1
07/18/2017,19,54,"Proof of sweat tho agilitymarkers also pictured agility tape marks from X3 I hear instagram com p BWtQOp j1nC",0.000000,0
07/18/2017,19,54,"Bridge instagram com p BWtQOL8nzgR",0.000000,0
07/18/2017,19,54,"stay golden Brooklyn southslope brooklyn Slope Brooklyn instagram com p BWtQN4ZDnUM",0.300000,1
07/18/2017,19,54,"Morning lights and colors 3nd post sunset sunrise sun TagsForLikes instagram com p BWtQMwqj6I4",0.000000,0
07/18/2017,19,54,"New Lucky Laced tees are fresh in 2 different versions available for men AND women instagram com p BWtQKg8lvw3",0.233939,1
07/18/2017,19,54,"Just posted a photo Heights Jersey City instagram com p BWtQLTEF3f0",0.000000,0
07/18/2017,19,54,"York New York instagram com p BWtQNkbhxjO",0.136364,1
07/18/2017,19,54,"Great lager Drinking a Hello Sailor by Industrial Arts Brewing at http untp beer s c479694469 photo",0.800000,1
07/18/2017,19,54,"TWANDADUDE Repost get repost Rap Mania Hip Hop Promo Tour Strip Club instagram com p BWtQMmcFe49",0.000000,0
07/18/2017,19,54,"bnw planet 2017 brooklyn bnw planet sheapsheadbay brooklyn brooklynnyc sunsets instagram com p BWtQLq4g2GX",0.000000,0
07/18/2017,19,54,"A minute of Muse by Christopher Theofanidis performed by the Orpheus Chamber Orchestra instagram com p BWtQLY9h5 1",0.000000,0
07/18/2017,19,54,"En caferubio Con La Musikita Mortal djjosephloveras loverasteam musikitamortal CafeRubio instagram com p BWtQJrAFbXb",0.000000,0
07/18/2017,19,54,"TeamDS18 DS18PRO DS18 HornDriver ProChuchero Chuchero ProAudio NYC instagram com p BWtQIcOBSPk",0.000000,0
07/18/2017,19,54,"The duck just landed Duck House instagram com p BWtQKiWD2pR",0.000000,0
07/18/2017,19,54,"terrier for tacos myburritoday toros Court St Brooklyn instagram com p BWtQJx D1QA",0.000000,0
07/18/2017,19,53,"tb take me back to NYC Photo by Edited by ijar Bridge instagram com p BWtQJHclo80",0.000000,0
07/18/2017,19,53,"DevSeason has begun Here s a snippet of King ft Prod By video shot by instagram com p BWtQHcIFB82",0.000000,0
07/18/2017,19,53,"Our featured vendor Shrutti is the artisa behind the boxstories She is a baby family instagram com p BWtQG1TB0w8",-0.400000,-1
07/18/2017,19,53,"Tuesday s child is full of Shakespeare Actor ActorsLife Shakespeare Forum swarmapp com c 15AFb0rJO5O pic twitter com rroWuE0Bgk",0.350000,1
07/18/2017,19,53,"Baume Boujie baumemercier baumemercierwatch watches luxury rolex djalexpersaud instagram com p BWtQFO gDuc",0.000000,0
07/18/2017,19,53,"NYC playing at Sirius XM TourDaysOfExile York New York instagram com p BWtQEJQlw6p",0.136364,1
07/18/2017,19,53,"560 West 192nd Street Manhattan pic twitter com kux0tVtSKA",0.000000,0
07/18/2017,19,53,"Construction on NewJerseyTurnpikeHudsonCountyExtension WB from East of Newark Bay Bridge to East of Interchange http 511ny org EventDetails T RANSCOM ORI159078801",0.000000,0
07/18/2017,19,53,"Taco Tuesday 3 Tacos all night Inn in Brooklyn NY swarmapp com c 2IvyGGVaAe3",0.000000,0
07/18/2017,19,52,"I am America I am the part you won t recognize but get use to me Black Confident Strong instagram com p BWtQAR8FS p",0.255556,1
07/18/2017,19,52,"It is Day of my personal plantbased journey and I decided to order a few freshjuices from instagram com p BWtP X3l8el",-0.100000,-1
07/18/2017,19,52,"Stop Light York New York instagram com p BWtP deggT7",0.268182,1
07/18/2017,19,52,"Just posted a photo Church Cemetery instagram com p BWtP92lhHPw",0.000000,0
07/18/2017,19,52,"mala fe ifeelgood malafe York New York instagram com p BWtP9j0Fjgm",0.136364,1
07/18/2017,19,52,"Twisted Benediction photography nyc newyorkcity newyork art streetart grafitti graffiti instagram com p BWtP9Q9hxEc",-0.500000,-1
07/18/2017,19,52,"My two gorgeous dates hillsshaw and dkny924 newyork Marshal instagram com p BWtP8wHjVZN",0.700000,1
07/18/2017,19,52,"Recording my set at today 100 new deep house house and deep disco will upload asap instagram com p BWtP9RbBb8p",0.045455,1
07/18/2017,19,52,"BEARD LOG ENTRY 003 Patchiness has decreased Man dom Right around the corner Man bun instagram com p BWtP8rQBodV",-0.057143,-1
07/18/2017,19,52,"I m at AMC Loews 19th Street East 6 for War for the Planet of the Apes in New York NY swarmapp com c gebPf5oniPN",0.136364,1
07/18/2017,19,51,"omg what a dance instagram com p BWtP41hDTKt",0.000000,0
07/18/2017,19,51,"POw Tavern instagram com p BWtP62rBFOZG LQKs7NR8IxLBubDSEXVzQEqsfc0",0.000000,0
07/18/2017,19,51,"Today s featured vendor Neena Litton from kaibelledesigns gets her inspiration from colors instagram com p BWtP6wyBP92",0.000000,0
07/18/2017,19,51,"Unaged whiskey cocktail Not gonna lie I had 3 of these cocktails whiskey boozehound instagram com p BWtP6JxFZGe",0.000000,0
07/18/2017,19,51,"Meeting with today They better not laugh when I instagram com p BWtP5ECj3FET alvc2Z0o9uHCM8q87bSh1B 9 Q0",0.175000,1
07/18/2017,19,51,"We ll be at TheLantern on BleeckerStreet NYC this Wednesday night This will be our first instagram com p BWtP5LXAzD4",0.250000,1
07/18/2017,19,51,"D jame dar una vueltita manzana og fresh Heights instagram com p BWtP1iYlrGWe b0gYCnZhlYXVVmy 1yp4HQJ wQ0",0.300000,1
