Date,Hour,Minute,Tweet text,Polarity,Sentiment
04/10/2017,19,59,"Today s needle work acupuncture needles nofilter chinese medicine freckles instagram com p BSuWI8Cj0Pp",0.000000,0
04/10/2017,19,59,"Another flower I found en route here to give to Sebastian Terrace and instagram com p BSuWI4lBL5C",0.000000,0
04/10/2017,19,59,"Construction on NewJerseyTurnpikeHudsonCountyExtension WB from East of Interchange 14A NJ 440 Bayonne Bridge http 511ny org EventDetails T RANSCOM ORI151289001",0.000000,0
04/10/2017,19,59,"Will the real Wallace please stand up No pup could ever be cuter than Wally Wall in a instagram com p BSuWIVRgFoH",0.200000,1
04/10/2017,19,59,"No likey Hospital Hospital Center in Elmhurst NY swarmapp com c ataVH4fT4vw",-0.100000,-1
04/10/2017,19,59,"Practice practice practice park co photography Hall instagram com p BSuWHdSDdqq",0.000000,0
04/10/2017,19,59,"Just posted a photo Brooklyn instagram com p BSuWHTGBLlb",0.000000,0
04/10/2017,19,59,"First nice night on the ferry in a long time nywaterway NYC Port Imperial instagram com p BSuWEj4lUOK",0.266667,1
04/10/2017,19,59,"LOTS of other people today thought a gorgeous spring afternoon was perfect for a Brooklyn Bridge instagram com p BSuWHA7jjs0",0.525000,1
04/10/2017,19,59,"I m at Music Hall for BRIT FLOYD Pink Floyd Immersion World Tour 2017 in New York NY swarmapp com c h026itQ3mZu",0.018182,1
04/10/2017,19,59,"Over the roofs of Ridgewood and the M tracks nyc Queens instagram com p BSuWGaWjFlV",0.000000,0
04/10/2017,19,59,"This The workspaces behind me at restaurant Norman is where I ll be restaurantnorman instagram com p BSuTyokDcGB",-0.400000,-1
04/10/2017,19,59,"Spring has finally sprung in NYC White blooms in the night in University Heights Bronx instagram com p BSuWFwVAcpz",0.000000,0
04/10/2017,19,59,"vibes Williamsburg instagram com p BSuWFcFDABq",0.000000,0
04/10/2017,19,59,"Check out sshata right now His new single is featured on http myblockmusic net now nyc miami instagram com p BQtluscArAz",0.087662,1
04/10/2017,19,59,"I m at News in New York NY w swarmapp com c ktoDrLC0oTS",0.136364,1
