Date,Hour,Minute,Tweet text,Polarity,Sentiment
01/03/2017,18,59,"Last night of vacation and my entire family on B way LuckyGuy Theatre instagram com p BO0lA3BDlX",0.000000,0
01/03/2017,18,59,"PowerPoint 2016 instagram com p BO0k zlk79K n9Iw2tlA78T75irGty4BKwW3Tw0",0.000000,0
01/03/2017,18,59,"I m at Madison Square Garden for Buffalo Sabres vs New York Rangers in New York NY swarmapp com c cXtJ12ZwHiL",0.136364,1
01/03/2017,18,59,"Precious Achiuwa njhoops 2017 ericlegrand classic basketball showcase Catholic http ln is www instagram com p iNkX3",0.222222,1
01/03/2017,18,59,"Emulating both the sensual and classical essence of the bedroom is a line of instagram com p BO0k8PVFrWn",0.000000,0
01/03/2017,18,59,"Hey fans estaremos este sabado 21 de enero 2017 en DUO LOUNGE en Perth Amboy NJ en la instagram com p BO0k8CtgTr6",0.000000,0
01/03/2017,18,59,"methodmanofficial x CheddaBang Off This Video on zee way instagram com p BO0k6yTlrWm",0.000000,0
01/03/2017,18,58,"Best holiday gift to myself While exchanging gifts this caught my eye I ve seen every sloth instagram com p BO0k5R8BL5j",1.000000,1
01/03/2017,18,58,"Starting off the new year with my JERSEY BOYS Boys instagram com p BO0k36Ult5x",0.068182,1
01/03/2017,18,58,"Conozcan a la talentosa bailarina Venezolana Ella es esta bella morena que instagram com p BO0k4GbAZP0",0.000000,0
01/03/2017,18,58,"We are not having a good start to the New Year at AHS A fellow volunteer writes My instagram com p BO0k3VqAGEZ",0.418182,1
01/03/2017,18,58,"Chinatown hustler Manhattan instagram com p BO0k2VdBnUX",0.000000,0
01/03/2017,18,58,"Looking Film Center for 20th Century Women in New York NY swarmapp com c 3eXb8vuyxQ9",0.012121,1
01/03/2017,18,58,"The Evolution https blackwidowfetish wordpress com 2017 01 03 the evolution",0.000000,0
01/03/2017,18,58,"Austrian night nauer Bistro in New York NY swarmapp com c 2g1ARda7oSJ",0.136364,1
01/03/2017,18,58,"Reward for a job well done today Theatre Club instagram com p BO0k0hEhSDT",0.000000,0
01/03/2017,18,58,"ITS A RAINBOW BAGEL Bagel Store instagram com p BO0k0dXjDLX",0.000000,0
01/03/2017,18,57,"My 2016bestnine based on likes Not all of my favorite moments but I ll make another to instagram com p BO0k0ESB0hz",0.500000,1
01/03/2017,18,57,"BTW My transition to the New Year was less about LastNightsShenanigans and more about laying instagram com p BO0kzp7jyAK",0.156566,1
01/03/2017,18,57,"We don t want to leave our house this winter but if wells hq keeps dishing out glory then I instagram com p BO0ky1hF3xB",0.000000,0
01/03/2017,18,57,"I m at Starbucks in New York NY swarmapp com c 8xjKpoTtCfZ",0.136364,1
01/03/2017,18,57,"A unique approach to self defense classes Systema the fighting system of the ancient Russian instagram com p BO0kf52Fnzd",0.187500,1
01/03/2017,18,57,"happy annywersary rinag329 30yearsgoingstrong 30yearsanniversary lovemylife lovemywife instagram com p BO0kvP6F0 d",0.800000,1
01/03/2017,18,57,"The movie My Team myteam fitoteam candyteam family teamjam instagram com p BO0kvaRghYOj pmdjaqQl6OgZARzDypELkwbSEo0",0.000000,0
01/03/2017,18,57,"Life Brooklyn instagram com p BO0kuy Ft7L",0.000000,0
01/03/2017,18,57,"La gente cree saberlo todo y no sabemos nada Bridge instagram com p BO0ks3NlHyL",0.000000,0
01/03/2017,18,57,"This Exile album audubon Can we work it out 8701 can we twerk it out we both ain t instagram com p BO0ksvxl622",0.000000,0
01/03/2017,18,57,"When art brings us together and informs us of the history we forgot Theater instagram com p BO0ks 7AnDq",0.000000,0
01/03/2017,18,56,"Dinner date and show Thanks Mom Dad for the Christmas present instagram com p BO0ks0CAHHjg LmdHe4h2CYoOQdPosmdh2sWiqY0",0.100000,1
01/03/2017,18,56,"Line work School of Design instagram com p BO0krNvgeT3",0.000000,0
01/03/2017,18,56,"Tonight s socks boston gay instagood instagay instagram pizza pizza socks red yellow instagram com p BO0kqKgDWUo",0.138889,1
01/03/2017,18,56,"We ve added tons of jackets online http ltrainvintage com York New York instagram com p BO0kpXAAVEF",0.136364,1
01/03/2017,18,56,"Construction on GLine Both directions at Coney Island Stillwell Avenue http 511ny org EventDetails T RANSCOM ORO1389407",0.000000,0
01/03/2017,18,56,"Tonight 7 10pm another edition of Tachno Tuesday with special guest from the instagram com p BO0knsrBlGk",0.357143,1
01/03/2017,18,56,"She s been working in being more gentle for a couple of years She s way better now She loves instagram com p BO0kkRtB3BW",0.400000,1
01/03/2017,18,56,"Si saben c mo me pongo Pa que me trabajo Jajajajaj instagram com p BO0km2PhwrBv PplUsAoUCviOzwnq5kpEKc8JDY0",0.000000,0
01/03/2017,18,56,"101st Le Monde for breakfast West Side instagram com p BO0kmytDRC8m V4ce DqRngWr 4QQI9qu2J3ewM0",0.000000,0
01/03/2017,18,55,"Earlier today airserbia avgeek jfk rainyday F instagram com p BO0kkgqALMu9 5qsKJtQaPlqpQ5Vz Rv6ADIW9k0",0.000000,0
01/03/2017,18,55,"I m at in New York NY swarmapp com c eEPZv2heU1x",0.136364,1
01/03/2017,18,55,"nyrangers letsgorangers greatseats excited Square Garden instagram com p BO0kjyGjAMQ",0.375000,1
01/03/2017,18,55,"TV Mind namjunepaik chase brooklyn 2017 downtown art Metrotech Center instagram com p BO0kjp5A2RN",-0.100000,-1
01/03/2017,18,55,"So much hope in the skies where daydreams fly and ideas flow Let this be your year to turn instagram com p BO0kivdAHym",0.500000,1
01/03/2017,18,55,"Free shipping from now till 1 8 17 using coupon code FREE SHIP instagram com p BO0kiZrArQl",0.400000,1
01/03/2017,18,55,"Another Warrior another quick trip to Rockefeller Center to check out the sights over break instagram com p BO0khn0DUxM",0.116667,1
