Timestamp,Hour,Temp,Conditions,Weather Sentiment
20170104,11:32 AM,48,Overcast,negative
20170104,11:51 AM,48,Overcast,negative
20170104,12:33 PM,50,Overcast,negative
20170104,12:51 PM,50,Overcast,negative
20170104,1:51 PM,51.1,Mostly Cloudy,negative
20170104,2:51 PM,52,Scattered Clouds,neutral
20170104,3:51 PM,50,Clear,positive
20170104,4:51 PM,46.9,Clear,positive
20170104,5:51 PM,45,Clear,positive
20170104,6:51 PM,44.1,Clear,positive
20170104,7:51 PM,41,Clear,positive
20170104,8:51 PM,39,Clear,positive
20170104,9:51 PM,37,Clear,positive
20170104,10:51 PM,35.1,Clear,positive
20170104,11:51 PM,34,Clear,positive
20170105,12:51 AM,33.1,Clear,positive
20170105,1:51 AM,30.9,Clear,positive
20170105,2:51 AM,30,Clear,positive
20170105,3:51 AM,28.9,Clear,positive
20170105,4:51 AM,28,Clear,positive
20170105,5:51 AM,28,Clear,positive
20170105,6:51 AM,27,Clear,positive
20170105,7:51 AM,27,Clear,positive
20170105,8:51 AM,27,Clear,positive
20170105,9:51 AM,28,Clear,positive
20170105,10:51 AM,28.9,Overcast,negative
20170105,11:51 AM,28.9,Partly Cloudy,neutral
20170105,12:51 PM,30.9,Clear,positive
20170105,1:51 PM,30.9,Clear,positive
20170105,2:51 PM,32,Clear,positive
20170105,3:51 PM,32,Clear,positive
20170105,4:51 PM,32,Clear,positive
20170105,5:51 PM,30.9,Scattered Clouds,neutral
20170105,6:51 PM,32,Overcast,negative
20170105,7:51 PM,32,Mostly Cloudy,negative
20170105,8:51 PM,32,Overcast,negative
20170105,9:51 PM,32,Overcast,negative
20170105,10:51 PM,30.9,Mostly Cloudy,negative
20170105,11:51 PM,30.9,Overcast,negative
20170106,12:29 AM,30,Light Snow,negative
20170106,12:37 AM,28.9,Light Snow,negative
20170106,12:51 AM,28,Snow,negative
20170106,1:02 AM,28,Light Snow,negative
20170106,1:10 AM,28,Light Snow,negative
20170106,1:31 AM,28,Light Snow,negative
20170106,1:51 AM,28,Light Snow,negative
20170106,2:13 AM,28,Light Snow,negative
20170106,2:29 AM,27,Light Snow,negative
20170106,2:51 AM,27,Light Snow,negative
20170106,3:02 AM,27,Light Snow,negative
20170106,3:13 AM,28,Overcast,negative
20170106,3:51 AM,28,Overcast,negative
20170106,4:51 AM,28,Haze,neutral
20170106,5:51 AM,28,Overcast,negative
20170106,6:51 AM,28,Haze,neutral
20170106,7:04 AM,28,Light Snow,negative
20170106,7:31 AM,28,Light Snow,negative
20170106,7:41 AM,28,Light Snow,negative
20170106,7:51 AM,28,Haze,neutral
20170106,8:51 AM,28.9,Overcast,negative
20170106,9:51 AM,28.9,Scattered Clouds,neutral
20170106,10:51 AM,30.9,Clear,positive
20170106,11:51 AM,30.9,Clear,positive
20170106,12:51 PM,33.1,Mostly Cloudy,negative
20170106,1:51 PM,32,Clear,positive
20170106,2:51 PM,32,Overcast,negative
20170106,3:51 PM,32,Overcast,negative
20170106,4:51 PM,32,Mostly Cloudy,negative
20170106,5:51 PM,30.9,Clear,positive
20170106,6:51 PM,30,Clear,positive
20170106,7:51 PM,28.9,Clear,positive
20170106,8:51 PM,28,Clear,positive
20170106,9:51 PM,27,Clear,positive
20170106,10:51 PM,26.1,Clear,positive
20170106,11:51 PM,25,Clear,positive
20170107,12:51 AM,25,Clear,positive
20170107,1:51 AM,25,Clear,positive
20170107,2:51 AM,25,Clear,positive
20170107,3:51 AM,24.1,Partly Cloudy,neutral
20170107,4:51 AM,24.1,Mostly Cloudy,negative
20170107,5:51 AM,23,Overcast,negative
20170107,6:51 AM,23,Overcast,negative
20170107,7:51 AM,23,Overcast,negative
20170107,8:51 AM,21.9,Light Snow,negative
20170107,9:16 AM,21.9,Light Snow,negative
20170107,9:24 AM,21.9,Light Snow,negative
20170107,9:48 AM,21.2,Snow,negative
20170107,9:51 AM,21,Snow,negative
20170107,10:28 AM,21,Heavy Snow,negative
20170107,10:51 AM,19.9,Snow,negative
20170107,11:51 AM,21,Snow,negative
20170107,12:03 PM,21,Light Snow,negative
20170107,12:12 PM,21,Snow,negative
20170107,12:51 PM,21,Snow,negative
20170107,1:22 PM,21,Snow,negative
20170107,1:32 PM,19.9,Snow,negative
20170107,1:51 PM,19.9,Snow,negative
20170107,2:51 PM,19.9,Snow,negative
20170107,3:51 PM,19.9,Snow,negative
20170107,4:09 PM,19.9,Snow,negative
20170107,4:30 PM,19.9,Snow,negative
20170107,4:51 PM,19.9,Snow,negative
20170107,5:51 PM,19.9,Snow,negative
20170107,6:33 PM,19.9,Light Snow,negative
20170107,6:48 PM,19.4,Light Snow,negative
20170107,6:51 PM,19.9,Light Snow,negative
20170107,7:05 PM,21,Light Snow,negative
20170107,7:37 PM,21,Light Snow,negative
20170107,7:51 PM,21,Light Snow,negative
20170107,8:25 PM,21,Light Snow,negative
20170107,8:34 PM,21,Light Snow,negative
20170107,8:42 PM,21,Light Snow,negative
20170107,8:51 PM,21,Light Snow,negative
20170107,9:07 PM,21,Light Snow,negative
20170107,9:41 PM,21,Haze,neutral
20170107,9:51 PM,21,Haze,neutral
20170107,10:51 PM,21,Overcast,negative
20170107,11:51 PM,21,Overcast,negative
20170108,12:51 AM,19.9,Clear,positive
20170108,1:51 AM,19,Clear,positive
20170108,2:51 AM,19,Clear,positive
20170108,3:51 AM,18,Clear,positive
20170108,4:51 AM,18,Clear,positive
20170108,5:51 AM,17.1,Clear,positive
20170108,6:51 AM,17.1,Clear,positive
